id_temps,jour,mois,annee,date_complete,nom_jour,nom_mois,jour_semaine,semaine_annee,jour_annee,trimestre,semestre,trimestre_label,semestre_label,fiscal_year,fiscal_quarter,fiscal_month,is_weekend,is_working_day,is_holiday,holiday_name,is_current_day,is_current_week,is_current_month,is_current_quarter,is_current_year
17,17,1,2019,2019-01-17,Thursday,January,4,3,17,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
18,18,1,2019,2019-01-18,Friday,January,5,3,18,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
19,19,1,2019,2019-01-19,Saturday,January,6,3,19,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
20,20,1,2019,2019-01-20,Sunday,January,7,3,20,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
21,21,1,2019,2019-01-21,Monday,January,1,4,21,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
22,22,1,2019,2019-01-22,Tuesday,January,2,4,22,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
23,23,1,2019,2019-01-23,Wednesday,January,3,4,23,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
24,24,1,2019,2019-01-24,Thursday,January,4,4,24,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
25,25,1,2019,2019-01-25,Friday,January,5,4,25,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
26,26,1,2019,2019-01-26,Saturday,January,6,4,26,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
27,27,1,2019,2019-01-27,Sunday,January,7,4,27,1,1,Q1 2019,H1 2019,2019,1,1,True,False,False,,False,False,False,False,False
28,28,1,2019,2019-01-28,Monday,January,1,5,28,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
29,29,1,2019,2019-01-29,Tuesday,January,2,5,29,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
30,30,1,2019,2019-01-30,Wednesday,January,3,5,30,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
31,31,1,2019,2019-01-31,Thursday,January,4,5,31,1,1,Q1 2019,H1 2019,2019,1,1,False,True,False,,False,False,False,False,False
32,1,2,2019,2019-02-01,Friday,February,5,5,32,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
33,2,2,2019,2019-02-02,Saturday,February,6,5,33,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
34,3,2,2019,2019-02-03,Sunday,February,7,5,34,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
35,4,2,2019,2019-02-04,Monday,February,1,6,35,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
36,5,2,2019,2019-02-05,Tuesday,February,2,6,36,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
37,6,2,2019,2019-02-06,Wednesday,February,3,6,37,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
38,7,2,2019,2019-02-07,Thursday,February,4,6,38,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
39,8,2,2019,2019-02-08,Friday,February,5,6,39,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
40,9,2,2019,2019-02-09,Saturday,February,6,6,40,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
41,10,2,2019,2019-02-10,Sunday,February,7,6,41,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
42,11,2,2019,2019-02-11,Monday,February,1,7,42,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
43,12,2,2019,2019-02-12,Tuesday,February,2,7,43,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
44,13,2,2019,2019-02-13,Wednesday,February,3,7,44,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
45,14,2,2019,2019-02-14,Thursday,February,4,7,45,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
46,15,2,2019,2019-02-15,Friday,February,5,7,46,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
47,16,2,2019,2019-02-16,Saturday,February,6,7,47,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
48,17,2,2019,2019-02-17,Sunday,February,7,7,48,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
49,18,2,2019,2019-02-18,Monday,February,1,8,49,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
50,19,2,2019,2019-02-19,Tuesday,February,2,8,50,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
51,20,2,2019,2019-02-20,Wednesday,February,3,8,51,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
52,21,2,2019,2019-02-21,Thursday,February,4,8,52,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
53,22,2,2019,2019-02-22,Friday,February,5,8,53,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
54,23,2,2019,2019-02-23,Saturday,February,6,8,54,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
55,24,2,2019,2019-02-24,Sunday,February,7,8,55,1,1,Q1 2019,H1 2019,2019,1,2,True,False,False,,False,False,False,False,False
56,25,2,2019,2019-02-25,Monday,February,1,9,56,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
57,26,2,2019,2019-02-26,Tuesday,February,2,9,57,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
58,27,2,2019,2019-02-27,Wednesday,February,3,9,58,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
59,28,2,2019,2019-02-28,Thursday,February,4,9,59,1,1,Q1 2019,H1 2019,2019,1,2,False,True,False,,False,False,False,False,False
60,1,3,2019,2019-03-01,Friday,March,5,9,60,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
61,2,3,2019,2019-03-02,Saturday,March,6,9,61,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
62,3,3,2019,2019-03-03,Sunday,March,7,9,62,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
63,4,3,2019,2019-03-04,Monday,March,1,10,63,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
64,5,3,2019,2019-03-05,Tuesday,March,2,10,64,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
65,6,3,2019,2019-03-06,Wednesday,March,3,10,65,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
66,7,3,2019,2019-03-07,Thursday,March,4,10,66,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
67,8,3,2019,2019-03-08,Friday,March,5,10,67,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
68,9,3,2019,2019-03-09,Saturday,March,6,10,68,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
69,10,3,2019,2019-03-10,Sunday,March,7,10,69,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
70,11,3,2019,2019-03-11,Monday,March,1,11,70,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
71,12,3,2019,2019-03-12,Tuesday,March,2,11,71,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
72,13,3,2019,2019-03-13,Wednesday,March,3,11,72,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
73,14,3,2019,2019-03-14,Thursday,March,4,11,73,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
74,15,3,2019,2019-03-15,Friday,March,5,11,74,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
75,16,3,2019,2019-03-16,Saturday,March,6,11,75,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
76,17,3,2019,2019-03-17,Sunday,March,7,11,76,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
77,18,3,2019,2019-03-18,Monday,March,1,12,77,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
78,19,3,2019,2019-03-19,Tuesday,March,2,12,78,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
79,20,3,2019,2019-03-20,Wednesday,March,3,12,79,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
80,21,3,2019,2019-03-21,Thursday,March,4,12,80,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
81,22,3,2019,2019-03-22,Friday,March,5,12,81,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
82,23,3,2019,2019-03-23,Saturday,March,6,12,82,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
83,24,3,2019,2019-03-24,Sunday,March,7,12,83,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
84,25,3,2019,2019-03-25,Monday,March,1,13,84,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
85,26,3,2019,2019-03-26,Tuesday,March,2,13,85,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
86,27,3,2019,2019-03-27,Wednesday,March,3,13,86,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
87,28,3,2019,2019-03-28,Thursday,March,4,13,87,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
88,29,3,2019,2019-03-29,Friday,March,5,13,88,1,1,Q1 2019,H1 2019,2019,1,3,False,True,False,,False,False,False,False,False
89,30,3,2019,2019-03-30,Saturday,March,6,13,89,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
90,31,3,2019,2019-03-31,Sunday,March,7,13,90,1,1,Q1 2019,H1 2019,2019,1,3,True,False,False,,False,False,False,False,False
91,1,4,2019,2019-04-01,Monday,April,1,14,91,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
92,2,4,2019,2019-04-02,Tuesday,April,2,14,92,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
93,3,4,2019,2019-04-03,Wednesday,April,3,14,93,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
94,4,4,2019,2019-04-04,Thursday,April,4,14,94,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
95,5,4,2019,2019-04-05,Friday,April,5,14,95,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
96,6,4,2019,2019-04-06,Saturday,April,6,14,96,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
97,7,4,2019,2019-04-07,Sunday,April,7,14,97,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
98,8,4,2019,2019-04-08,Monday,April,1,15,98,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
99,9,4,2019,2019-04-09,Tuesday,April,2,15,99,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
100,10,4,2019,2019-04-10,Wednesday,April,3,15,100,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
101,11,4,2019,2019-04-11,Thursday,April,4,15,101,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
102,12,4,2019,2019-04-12,Friday,April,5,15,102,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
103,13,4,2019,2019-04-13,Saturday,April,6,15,103,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
104,14,4,2019,2019-04-14,Sunday,April,7,15,104,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
105,15,4,2019,2019-04-15,Monday,April,1,16,105,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
106,16,4,2019,2019-04-16,Tuesday,April,2,16,106,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
107,17,4,2019,2019-04-17,Wednesday,April,3,16,107,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
108,18,4,2019,2019-04-18,Thursday,April,4,16,108,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
109,19,4,2019,2019-04-19,Friday,April,5,16,109,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
110,20,4,2019,2019-04-20,Saturday,April,6,16,110,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
111,21,4,2019,2019-04-21,Sunday,April,7,16,111,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
112,22,4,2019,2019-04-22,Monday,April,1,17,112,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
113,23,4,2019,2019-04-23,Tuesday,April,2,17,113,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
114,24,4,2019,2019-04-24,Wednesday,April,3,17,114,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
115,25,4,2019,2019-04-25,Thursday,April,4,17,115,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
116,26,4,2019,2019-04-26,Friday,April,5,17,116,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
117,27,4,2019,2019-04-27,Saturday,April,6,17,117,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
118,28,4,2019,2019-04-28,Sunday,April,7,17,118,2,1,Q2 2019,H1 2019,2019,2,4,True,False,False,,False,False,False,False,False
119,29,4,2019,2019-04-29,Monday,April,1,18,119,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
120,30,4,2019,2019-04-30,Tuesday,April,2,18,120,2,1,Q2 2019,H1 2019,2019,2,4,False,True,False,,False,False,False,False,False
121,1,5,2019,2019-05-01,Wednesday,May,3,18,121,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
122,2,5,2019,2019-05-02,Thursday,May,4,18,122,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
123,3,5,2019,2019-05-03,Friday,May,5,18,123,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
124,4,5,2019,2019-05-04,Saturday,May,6,18,124,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
125,5,5,2019,2019-05-05,Sunday,May,7,18,125,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
126,6,5,2019,2019-05-06,Monday,May,1,19,126,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
127,7,5,2019,2019-05-07,Tuesday,May,2,19,127,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
128,8,5,2019,2019-05-08,Wednesday,May,3,19,128,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
129,9,5,2019,2019-05-09,Thursday,May,4,19,129,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
130,10,5,2019,2019-05-10,Friday,May,5,19,130,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
131,11,5,2019,2019-05-11,Saturday,May,6,19,131,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
132,12,5,2019,2019-05-12,Sunday,May,7,19,132,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
133,13,5,2019,2019-05-13,Monday,May,1,20,133,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
134,14,5,2019,2019-05-14,Tuesday,May,2,20,134,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
135,15,5,2019,2019-05-15,Wednesday,May,3,20,135,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
136,16,5,2019,2019-05-16,Thursday,May,4,20,136,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
137,17,5,2019,2019-05-17,Friday,May,5,20,137,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
138,18,5,2019,2019-05-18,Saturday,May,6,20,138,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
139,19,5,2019,2019-05-19,Sunday,May,7,20,139,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
140,20,5,2019,2019-05-20,Monday,May,1,21,140,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
141,21,5,2019,2019-05-21,Tuesday,May,2,21,141,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
142,22,5,2019,2019-05-22,Wednesday,May,3,21,142,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
143,23,5,2019,2019-05-23,Thursday,May,4,21,143,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
144,24,5,2019,2019-05-24,Friday,May,5,21,144,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
145,25,5,2019,2019-05-25,Saturday,May,6,21,145,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
146,26,5,2019,2019-05-26,Sunday,May,7,21,146,2,1,Q2 2019,H1 2019,2019,2,5,True,False,False,,False,False,False,False,False
147,27,5,2019,2019-05-27,Monday,May,1,22,147,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
148,28,5,2019,2019-05-28,Tuesday,May,2,22,148,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
149,29,5,2019,2019-05-29,Wednesday,May,3,22,149,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
150,30,5,2019,2019-05-30,Thursday,May,4,22,150,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
151,31,5,2019,2019-05-31,Friday,May,5,22,151,2,1,Q2 2019,H1 2019,2019,2,5,False,True,False,,False,False,False,False,False
152,1,6,2019,2019-06-01,Saturday,June,6,22,152,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
153,2,6,2019,2019-06-02,Sunday,June,7,22,153,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
154,3,6,2019,2019-06-03,Monday,June,1,23,154,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
155,4,6,2019,2019-06-04,Tuesday,June,2,23,155,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
156,5,6,2019,2019-06-05,Wednesday,June,3,23,156,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
157,6,6,2019,2019-06-06,Thursday,June,4,23,157,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
158,7,6,2019,2019-06-07,Friday,June,5,23,158,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
159,8,6,2019,2019-06-08,Saturday,June,6,23,159,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
160,9,6,2019,2019-06-09,Sunday,June,7,23,160,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
161,10,6,2019,2019-06-10,Monday,June,1,24,161,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
162,11,6,2019,2019-06-11,Tuesday,June,2,24,162,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
163,12,6,2019,2019-06-12,Wednesday,June,3,24,163,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
164,13,6,2019,2019-06-13,Thursday,June,4,24,164,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
165,14,6,2019,2019-06-14,Friday,June,5,24,165,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
166,15,6,2019,2019-06-15,Saturday,June,6,24,166,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
167,16,6,2019,2019-06-16,Sunday,June,7,24,167,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
168,17,6,2019,2019-06-17,Monday,June,1,25,168,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
169,18,6,2019,2019-06-18,Tuesday,June,2,25,169,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
170,19,6,2019,2019-06-19,Wednesday,June,3,25,170,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
171,20,6,2019,2019-06-20,Thursday,June,4,25,171,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
172,21,6,2019,2019-06-21,Friday,June,5,25,172,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
173,22,6,2019,2019-06-22,Saturday,June,6,25,173,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
174,23,6,2019,2019-06-23,Sunday,June,7,25,174,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
175,24,6,2019,2019-06-24,Monday,June,1,26,175,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
176,25,6,2019,2019-06-25,Tuesday,June,2,26,176,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
177,26,6,2019,2019-06-26,Wednesday,June,3,26,177,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
178,27,6,2019,2019-06-27,Thursday,June,4,26,178,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
179,28,6,2019,2019-06-28,Friday,June,5,26,179,2,1,Q2 2019,H1 2019,2019,2,6,False,True,False,,False,False,False,False,False
180,29,6,2019,2019-06-29,Saturday,June,6,26,180,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
181,30,6,2019,2019-06-30,Sunday,June,7,26,181,2,1,Q2 2019,H1 2019,2019,2,6,True,False,False,,False,False,False,False,False
182,1,7,2019,2019-07-01,Monday,July,1,27,182,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
183,2,7,2019,2019-07-02,Tuesday,July,2,27,183,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
184,3,7,2019,2019-07-03,Wednesday,July,3,27,184,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
185,4,7,2019,2019-07-04,Thursday,July,4,27,185,3,2,Q3 2019,H2 2019,2019,3,7,False,True,True,Independence Day,False,False,False,False,False
186,5,7,2019,2019-07-05,Friday,July,5,27,186,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
187,6,7,2019,2019-07-06,Saturday,July,6,27,187,3,2,Q3 2019,H2 2019,2019,3,7,True,False,False,,False,False,False,False,False
188,7,7,2019,2019-07-07,Sunday,July,7,27,188,3,2,Q3 2019,H2 2019,2019,3,7,True,False,False,,False,False,False,False,False
189,8,7,2019,2019-07-08,Monday,July,1,28,189,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
190,9,7,2019,2019-07-09,Tuesday,July,2,28,190,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
191,10,7,2019,2019-07-10,Wednesday,July,3,28,191,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
192,11,7,2019,2019-07-11,Thursday,July,4,28,192,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
193,12,7,2019,2019-07-12,Friday,July,5,28,193,3,2,Q3 2019,H2 2019,2019,3,7,False,True,False,,False,False,False,False,False
194,13,7,2019,2019-07-13,Saturday,July,6,28,194,3,2,Q3 2019,H2 2019,2019,3,7,True,False,False,,False,False,False,False,False
195,14,7,2019,2019-07-14,Sunday,July,7,28,195,3,2,Q3 2019,H2 2019,2019,3,7,True,False,False,,False,False,False,False,False
