id,nom_segment,type_segment,score_rfm,score_recence,score_frequence,score_montant,valeur_vie_client
63,Lost,Medium,452,4,5,2,36580
64,Promising,Medium,415,4,1,5,29760
65,Potential Loyalists,Medium,434,4,3,4,30690
66,Need Attention,Medium,344,3,4,4,30940
67,Loyal Customers,Premium,454,4,5,4,37440
68,About To Sleep,Low,322,3,2,2,20600
69,Promising,Low,422,4,2,2,22660
70,Promising,Medium,415,4,1,5,31000
71,Hibernating,Low,215,2,1,5,30510
72,About To Sleep,Low,323,3,2,3,22080
73,Lost,Low,134,1,3,4,21600
74,Loyal Customers,Premium,454,4,5,4,42900
75,Lost,Low,431,4,3,1,19110
76,Hibernating,Low,215,2,1,5,23220
77,Lost,Low,113,1,1,3,13770
78,At Risk,Medium,252,2,5,2,23760
79,Need Attention,Low,332,3,3,2,25760
80,Hibernating,Low,221,2,2,1,16380
81,Promising,Medium,525,5,2,5,33120
82,Lost,Low,121,1,2,1,13920
83,Promising,Medium,524,5,2,4,30400
84,Cant Lose Them,Medium,145,1,4,5,30260
85,Hibernating,Low,212,2,1,2,14250
86,Need Attention,Medium,342,3,4,2,24960
87,Hibernating,Low,224,2,2,4,24700
88,Hibernating,Low,213,2,1,3,18620
89,Potential Loyalists,Medium,433,4,3,3,32770
90,At Risk,Low,241,2,4,1,23000
91,Lost,Low,112,1,1,2,14430
92,Lost,Low,112,1,1,2,10400
93,Promising,Medium,524,5,2,4,36480
94,Promising,Medium,524,5,2,4,31680
95,Need Attention,Medium,354,3,5,4,37740
96,At Risk,Medium,253,2,5,3,28520
97,Hibernating,Low,221,2,2,1,14980
98,Potential Loyalists,Medium,533,5,3,3,36890
99,Lost,Medium,531,5,3,1,24840
100,Need Attention,Medium,344,3,4,4,27200
101,Potential Loyalists,Medium,433,4,3,3,29870
102,Promising,Medium,524,5,2,4,37760
103,At Risk,Low,232,2,3,2,16800
104,Promising,Medium,514,5,1,4,23490
105,At Risk,Medium,235,2,3,5,39270
106,Need Attention,Medium,353,3,5,3,32670
107,Cant Lose Them,Low,142,1,4,2,22440
108,Lost,Low,111,1,1,1,10080
109,Cant Lose Them,Low,151,1,5,1,22470
110,Loyal Customers,Premium,454,4,5,4,31980
111,Promising,Low,411,4,1,1,17850
112,At Risk,Low,242,2,4,2,19200
113,Promising,Medium,423,4,2,3,21060
114,Potential Loyalists,Medium,533,5,3,3,34410
115,Lost,Low,113,1,1,3,19380
116,Lost,Medium,542,5,4,2,25500
117,Cant Lose Them,Low,143,1,4,3,24180
118,At Risk,Low,251,2,5,1,25760
119,Promising,Medium,514,5,1,4,23490
120,At Risk,Medium,255,2,5,5,34710
121,Lost,Low,132,1,3,2,15200
122,Hibernating,Low,222,2,2,2,20880
123,Promising,Medium,513,5,1,3,29750
124,Potential Loyalists,Medium,435,4,3,5,42550
125,Hibernating,Low,215,2,1,5,31590
126,Need Attention,Medium,333,3,3,3,31590
127,Promising,Medium,515,5,1,5,30690
128,Lost,Medium,452,4,5,2,24800
129,Potential Loyalists,Premium,553,5,5,3,34780
130,Potential Loyalists,Medium,543,5,4,3,28220
131,Cant Lose Them,Medium,153,1,5,3,27550
132,Promising,Medium,425,4,2,5,35700
133,At Risk,Low,242,2,4,2,22320
134,Lost,Low,112,1,1,2,14300
135,Hibernating,Low,224,2,2,4,24440
136,At Risk,Medium,234,2,3,4,27260
137,Hibernating,Low,212,2,1,2,15900
138,Lost,Low,115,1,1,5,28500
139,At Risk,Low,231,2,3,1,18530
140,Cant Lose Them,Medium,154,1,5,4,31350
141,Champions,Premium,555,5,5,5,36450
142,Lost,Medium,451,4,5,1,25920
143,Potential Loyalists,Medium,533,5,3,3,25730
144,Potential Loyalists,Premium,553,5,5,3,42550
145,Lost,Medium,551,5,5,1,33930
146,About To Sleep,Low,313,3,1,3,24780
147,Promising,Medium,424,4,2,4,30300
148,Promising,Medium,514,5,1,4,27260
149,At Risk,Medium,244,2,4,4,32640
150,Loyal Customers,Premium,554,5,5,4,44280
151,Lost,Low,121,1,2,1,9960
152,Lost,Low,114,1,1,4,17640
153,Promising,Low,421,4,2,1,15120
154,Potential Loyalists,Premium,553,5,5,3,29600
155,Lost,Low,131,1,3,1,17550
156,At Risk,Low,251,2,5,1,20240
157,Potential Loyalists,Medium,433,4,3,3,25810
158,Lost,Medium,452,4,5,2,30380
159,Potential Loyalists,Medium,434,4,3,4,32670
160,Need Attention,Medium,343,3,4,3,28800
161,Need Attention,Medium,334,3,3,4,34720
162,Need Attention,Low,341,3,4,1,21560
163,Hibernating,Low,215,2,1,5,23760
164,About To Sleep,Low,314,3,1,4,29250
165,New Customers,Medium,522,5,2,2,25200
166,Hibernating,Low,215,2,1,5,28080
167,Cant Lose Them,Low,141,1,4,1,21240
168,At Risk,Medium,252,2,5,2,26730
169,Need Attention,Medium,354,3,5,4,29600
170,Need Attention,Medium,353,3,5,3,28050
171,Need Attention,Medium,335,3,3,5,32900
172,About To Sleep,Low,314,3,1,4,23250
173,About To Sleep,Low,313,3,1,3,22680
174,About To Sleep,Medium,315,3,1,5,32190
175,Cant Lose Them,Low,143,1,4,3,24700
176,Need Attention,Medium,343,3,4,3,27900
177,Hibernating,Low,214,2,1,4,27370
178,Need Attention,Medium,351,3,5,1,21000
179,Need Attention,Medium,335,3,3,5,30800
180,Lost,Medium,532,5,3,2,24030
181,About To Sleep,Medium,325,3,2,5,29120
182,Lost,Low,123,1,2,3,21800
183,Lost,Medium,442,4,4,2,25760
184,Lost,Medium,541,5,4,1,23660
185,Need Attention,Premium,355,3,5,5,41410
186,Lost,Low,121,1,2,1,13800
187,Lost,Medium,551,5,5,1,27260
188,Potential Loyalists,Medium,443,4,4,3,29760
189,Promising,Medium,524,5,2,4,30080
190,New Customers,Medium,522,5,2,2,28560
191,Promising,Medium,525,5,2,5,28800
192,Lost,Low,121,1,2,1,13800
193,Need Attention,Low,332,3,3,2,21620
194,About To Sleep,Low,311,3,1,1,13650
195,Need Attention,Medium,344,3,4,4,27880
196,About To Sleep,Low,311,3,1,1,11050
197,Cant Lose Them,Medium,145,1,4,5,39440
198,Need Attention,Medium,335,3,3,5,30800
199,Loyal Customers,Premium,554,5,5,4,47150
200,Potential Loyalists,Premium,535,5,3,5,37830
201,Promising,Medium,424,4,2,4,24000
202,Loyal Customers,Premium,455,4,5,5,42570
203,About To Sleep,Medium,315,3,1,5,30450
204,New Customers,Medium,522,5,2,2,26160
205,Cant Lose Them,Low,143,1,4,3,28600
206,Lost,Medium,552,5,5,2,33330
207,Need Attention,Medium,352,3,5,2,31900
208,Promising,Low,413,4,1,3,24380
209,Lost,Low,431,4,3,1,18690
210,At Risk,Medium,234,2,3,4,33350
211,About To Sleep,Medium,315,3,1,5,29870
212,Lost,Low,112,1,1,2,11180
213,At Risk,Medium,254,2,5,4,30100
214,Need Attention,Premium,355,3,5,5,34440
215,Promising,Medium,524,5,2,4,34880
216,About To Sleep,Medium,324,3,2,4,28840
217,Need Attention,Medium,352,3,5,2,33060
218,Hibernating,Medium,225,2,2,5,35100
219,Cant Lose Them,Low,152,1,5,2,24500
220,Lost,Low,134,1,3,4,28080
221,Promising,Medium,424,4,2,4,26400
222,Lost,Low,132,1,3,2,18050
223,At Risk,Medium,235,2,3,5,29700
224,Potential Loyalists,Medium,543,5,4,3,36720
225,Lost,Low,431,4,3,1,24150
226,At Risk,Medium,243,2,4,3,30800
227,Lost,Low,121,1,2,1,12960
228,Need Attention,Medium,344,3,4,4,29240
229,Hibernating,Low,212,2,1,2,16800
230,Promising,Medium,423,4,2,3,30420
231,Lost,Low,122,1,2,2,15840
232,Lost,Medium,441,4,4,1,27360
233,Potential Loyalists,Premium,553,5,5,3,42920
234,Hibernating,Low,221,2,2,1,15400
235,Lost,Medium,442,4,4,2,30520
236,Lost,Low,131,1,3,1,17850
237,Hibernating,Low,221,2,2,1,16100
238,Need Attention,Low,332,3,3,2,20930
239,Lost,Low,123,1,2,3,21800
240,About To Sleep,Medium,325,3,2,5,26560
241,Cant Lose Them,Medium,153,1,5,3,32480
242,Hibernating,Low,213,2,1,3,17290
243,Promising,Medium,515,5,1,5,30360
244,Hibernating,Low,211,2,1,1,11550
245,At Risk,Medium,243,2,4,3,28840
246,At Risk,Low,241,2,4,1,18400
247,About To Sleep,Low,311,3,1,1,14820
248,Loyal Customers,Premium,545,5,4,5,34860
249,Lost,Low,125,1,2,5,30520
250,Promising,Medium,515,5,1,5,28710
251,Cant Lose Them,Medium,155,1,5,5,37000
252,Loyal Customers,Premium,544,5,4,4,38000
253,Loyal Customers,Premium,545,5,4,5,39480
254,Promising,Low,413,4,1,3,25990
255,Hibernating,Low,222,2,2,2,15840
256,Lost,Low,132,1,3,2,22610
257,Need Attention,Medium,335,3,3,5,41300
258,Hibernating,Low,221,2,2,1,16380
259,New Customers,Low,512,5,1,2,21630
260,Lost,Medium,552,5,5,2,31680
261,Lost,Low,124,1,2,4,28080
262,Lost,Low,431,4,3,1,21630
263,Lost,Medium,432,4,3,2,22500
264,Loyal Customers,Premium,454,4,5,4,32760
265,Need Attention,Medium,342,3,4,2,27560
266,Promising,Medium,513,5,1,3,23750
267,Cant Lose Them,Low,142,1,4,2,22880
268,Potential Loyalists,Medium,533,5,3,3,31620
269,About To Sleep,Low,314,3,1,4,29000
270,Promising,Medium,414,4,1,4,23760
271,Cant Lose Them,Medium,155,1,5,5,40330
272,At Risk,Medium,245,2,4,5,40320
273,Lost,Medium,552,5,5,2,30360
274,Promising,Medium,513,5,1,3,22500
275,Hibernating,Low,223,2,2,3,18260
276,Loyal Customers,Premium,455,4,5,5,35260
277,At Risk,Low,233,2,3,3,28750
278,Need Attention,Premium,355,3,5,5,44280
279,About To Sleep,Medium,324,3,2,4,25200
280,About To Sleep,Low,311,3,1,1,15210
281,Lost,Medium,551,5,5,1,24360
282,Promising,Low,411,4,1,1,12300
283,Promising,Low,422,4,2,2,20900
284,Lost,Low,114,1,1,4,20790
285,About To Sleep,Low,322,3,2,2,16600
286,Lost,Medium,441,4,4,1,28560
287,At Risk,Medium,252,2,5,2,23760
288,Cant Lose Them,Medium,144,1,4,4,31200
289,Lost,Low,124,1,2,4,24720
290,Lost,Low,115,1,1,5,20750
291,Loyal Customers,Premium,554,5,5,4,43050
292,Hibernating,Low,223,2,2,3,24420
293,Cant Lose Them,Low,143,1,4,3,22880
294,Lost,Medium,135,1,3,5,32860
295,About To Sleep,Medium,325,3,2,5,29760
296,Lost,Medium,135,1,3,5,28830
297,Lost,Medium,442,4,4,2,31080
298,Potential Loyalists,Medium,443,4,4,3,28480
299,At Risk,Low,251,2,5,1,20700
300,Potential Loyalists,Medium,533,5,3,3,33480
301,Need Attention,Medium,344,3,4,4,29920
302,Lost,Medium,442,4,4,2,28560
303,Promising,Medium,515,5,1,5,27390
304,At Risk,Medium,245,2,4,5,31680
305,At Risk,Low,241,2,4,1,22400
306,Lost,Medium,552,5,5,2,38610
307,Lost,Medium,551,5,5,1,34220
308,Promising,Low,421,4,2,1,17100
309,Hibernating,Low,221,2,2,1,16520
310,At Risk,Medium,244,2,4,4,32640
311,Promising,Medium,525,5,2,5,32040
312,At Risk,Medium,253,2,5,3,35340
313,Lost,Low,123,1,2,3,22000
314,At Risk,Medium,252,2,5,2,28890
315,New Customers,Low,521,5,2,1,23400
316,About To Sleep,Low,312,3,1,2,16660
317,At Risk,Medium,253,2,5,3,35960
318,Lost,Low,123,1,2,3,18000
319,Promising,Low,413,4,1,3,19320
320,About To Sleep,Medium,324,3,2,4,26040
321,Cant Lose Them,Low,142,1,4,2,24860
322,Need Attention,Medium,353,3,5,3,29370
323,About To Sleep,Low,323,3,2,3,26160
324,Need Attention,Low,332,3,3,2,24840
325,Loyal Customers,Premium,554,5,5,4,40180
326,About To Sleep,Low,314,3,1,4,23750
327,Loyal Customers,Premium,455,4,5,5,35260
328,Loyal Customers,Premium,455,4,5,5,34830
329,Potential Loyalists,Medium,534,5,3,4,38850
330,New Customers,Low,521,5,2,1,23200
331,About To Sleep,Low,322,3,2,2,21400
332,Lost,Medium,552,5,5,2,28380
333,Lost,Low,131,1,3,1,14550
334,Cant Lose Them,Low,141,1,4,1,20340
335,Promising,Medium,513,5,1,3,21250
336,Potential Loyalists,Premium,535,5,3,5,43290
337,Need Attention,Medium,342,3,4,2,27560
338,Lost,Medium,135,1,3,5,28520
339,Lost,Medium,452,4,5,2,25420
340,Hibernating,Low,222,2,2,2,14400
341,At Risk,Medium,244,2,4,4,37440
342,Cant Lose Them,Low,152,1,5,2,22000
343,At Risk,Medium,244,2,4,4,31360
344,Cant Lose Them,Low,141,1,4,1,19980
345,Potential Loyalists,Medium,443,4,4,3,31040
346,Lost,Low,131,1,3,1,16500
347,Need Attention,Medium,352,3,5,2,31900
348,Loyal Customers,Medium,444,4,4,4,40320
349,Potential Loyalists,Medium,533,5,3,3,26660
350,At Risk,Medium,243,2,4,3,28560
351,Potential Loyalists,Medium,435,4,3,5,34040
352,Lost,Low,125,1,2,5,26320
353,Promising,Low,421,4,2,1,19440
354,Need Attention,Medium,344,3,4,4,37060
355,Lost,Medium,441,4,4,1,22800
356,Need Attention,Medium,342,3,4,2,25740
357,Promising,Medium,424,4,2,4,34200
358,Lost,Low,133,1,3,3,25760
359,Lost,Low,131,1,3,1,12300
360,Lost,Medium,135,1,3,5,28520
361,About To Sleep,Low,321,3,2,1,14400
362,Lost,Low,123,1,2,3,23400
363,Need Attention,Medium,351,3,5,1,27250
364,Promising,Medium,414,4,1,4,26730
365,Lost,Low,125,1,2,5,26040
366,Lost,Low,115,1,1,5,29000
367,Potential Loyalists,Premium,535,5,3,5,43290
368,Lost,Medium,541,5,4,1,30680
369,Need Attention,Low,341,3,4,1,17820
370,Need Attention,Medium,342,3,4,2,23660
371,Potential Loyalists,Premium,553,5,5,3,30340
372,Cant Lose Them,Low,143,1,4,3,24180
373,Potential Loyalists,Medium,433,4,3,3,29290
374,Need Attention,Medium,342,3,4,2,30420
375,Need Attention,Medium,353,3,5,3,29700
376,Lost,Low,113,1,1,3,19210
377,Loyal Customers,Premium,554,5,5,4,41820
378,Promising,Low,413,4,1,3,19090
379,Promising,Medium,525,5,2,5,33480
380,Cant Lose Them,Medium,153,1,5,3,27260
381,Hibernating,Low,222,2,2,2,19980
382,Need Attention,Low,341,3,4,1,21560
383,Promising,Medium,515,5,1,5,30690
384,Lost,Medium,452,4,5,2,27590
385,Lost,Low,112,1,1,2,13910
386,Promising,Medium,523,5,2,3,30800
387,Hibernating,Medium,225,2,2,5,30000
388,About To Sleep,Low,321,3,2,1,14240
389,Lost,Medium,135,1,3,5,30690
390,Cant Lose Them,Low,141,1,4,1,21240
391,Lost,Low,431,4,3,1,18690
392,Lost,Low,111,1,1,1,8010
393,Lost,Medium,552,5,5,2,33660
394,Lost,Low,131,1,3,1,12750
395,Promising,Medium,425,4,2,5,40460
396,Potential Loyalists,Medium,435,4,3,5,34410
397,Loyal Customers,Premium,445,4,4,5,42000
398,Hibernating,Low,221,2,2,1,11200
399,At Risk,Medium,234,2,3,4,27840
400,Lost,Medium,441,4,4,1,23040
401,Lost,Medium,551,5,5,1,29580
402,Need Attention,Low,331,3,3,1,19380
403,Potential Loyalists,Medium,435,4,3,5,35520
404,Cant Lose Them,Medium,144,1,4,4,35700
405,Hibernating,Low,222,2,2,2,16380
406,Potential Loyalists,Medium,453,4,5,3,36750
407,Hibernating,Low,222,2,2,2,19260
408,At Risk,Medium,254,2,5,4,35350
409,At Risk,Low,233,2,3,3,26500
410,Cant Lose Them,Medium,145,1,4,5,29920
411,Need Attention,Medium,335,3,3,5,31500
412,Need Attention,Low,331,3,3,1,22420
413,At Risk,Low,233,2,3,3,20250
414,Need Attention,Medium,345,3,4,5,41040
415,About To Sleep,Low,321,3,2,1,19040
416,Lost,Low,132,1,3,2,22610
417,Lost,Medium,551,5,5,1,27550
418,Promising,Medium,425,4,2,5,31280
419,Cant Lose Them,Medium,155,1,5,5,41440
420,Potential Loyalists,Medium,433,4,3,3,32480
421,Promising,Low,413,4,1,3,18860
422,About To Sleep,Low,311,3,1,1,14690
423,At Risk,Medium,243,2,4,3,26600
424,Promising,Low,421,4,2,1,19440
425,New Customers,Medium,522,5,2,2,19200
426,Hibernating,Low,211,2,1,1,11110
427,Lost,Low,131,1,3,1,13200
428,About To Sleep,Low,323,3,2,3,20160
429,Cant Lose Them,Medium,153,1,5,3,32480
430,Lost,Low,132,1,3,2,18620
431,About To Sleep,Low,322,3,2,2,21000
432,About To Sleep,Low,311,3,1,1,13130
433,Lost,Medium,542,5,4,2,35400
434,Promising,Low,411,4,1,1,12600
435,Cant Lose Them,Low,143,1,4,3,28340
436,Lost,Low,112,1,1,2,15470
437,Need Attention,Low,332,3,3,2,27140
438,Lost,Medium,552,5,5,2,36960
439,At Risk,Low,231,2,3,1,19890
440,At Risk,Medium,245,2,4,5,39600
441,Promising,Medium,523,5,2,3,22960
442,At Risk,Medium,253,2,5,3,36890
443,Promising,Low,421,4,2,1,14400
444,Lost,Low,111,1,1,1,8640
445,About To Sleep,Low,311,3,1,1,13910
446,Loyal Customers,Premium,455,4,5,5,45580
447,Potential Loyalists,Medium,434,4,3,4,33330
448,Lost,Medium,531,5,3,1,26220
449,At Risk,Medium,243,2,4,3,33320
450,Need Attention,Medium,334,3,3,4,32860
451,Lost,Low,111,1,1,1,9270
452,Hibernating,Low,224,2,2,4,23140
453,Hibernating,Low,222,2,2,2,16200
454,Potential Loyalists,Medium,433,4,3,3,30740
455,Cant Lose Them,Medium,144,1,4,4,26400
456,About To Sleep,Medium,325,3,2,5,35200
457,Potential Loyalists,Medium,543,5,4,3,40120
458,Need Attention,Low,331,3,3,1,19380
459,Loyal Customers,Premium,554,5,5,4,48380
460,Promising,Medium,513,5,1,3,27750
461,Promising,Medium,414,4,1,4,23490
462,Need Attention,Low,341,3,4,1,24200
463,Lost,Low,112,1,1,2,10400
464,Need Attention,Medium,354,3,5,4,35890
465,Potential Loyalists,Premium,553,5,5,3,37740
466,Need Attention,Medium,342,3,4,2,28860
467,Cant Lose Them,Low,142,1,4,2,17820
468,Cant Lose Them,Medium,145,1,4,5,37740
469,Lost,Low,112,1,1,2,14690
470,Promising,Medium,524,5,2,4,37440
471,Promising,Medium,414,4,1,4,27000
472,At Risk,Medium,244,2,4,4,30080
473,Promising,Medium,523,5,2,3,28560
474,Need Attention,Medium,335,3,3,5,36050
475,Promising,Medium,524,5,2,4,31680
476,At Risk,Medium,234,2,3,4,34220
477,Lost,Medium,551,5,5,1,31320
478,Need Attention,Medium,352,3,5,2,29290
479,At Risk,Medium,253,2,5,3,33480
480,Hibernating,Medium,225,2,2,5,30300
481,Lost,Medium,135,1,3,5,34410
482,Champions,Premium,555,5,5,5,40500
483,At Risk,Low,241,2,4,1,17000
484,New Customers,Low,521,5,2,1,20000
485,At Risk,Low,241,2,4,1,17200
486,Lost,Medium,552,5,5,2,30030
487,At Risk,Medium,245,2,4,5,33120
488,Lost,Low,114,1,1,4,22680
489,Promising,Medium,515,5,1,5,36300
490,Need Attention,Low,331,3,3,1,19000
491,Lost,Medium,451,4,5,1,28350
492,Lost,Low,122,1,2,2,14880
493,About To Sleep,Low,321,3,2,1,16480
494,Hibernating,Low,223,2,2,3,25740
495,Lost,Low,132,1,3,2,15960
496,Hibernating,Low,224,2,2,4,29640
497,Hibernating,Low,223,2,2,3,24420
498,Need Attention,Medium,351,3,5,1,24250
499,At Risk,Medium,244,2,4,4,32640
500,At Risk,Medium,244,2,4,4,29120
501,About To Sleep,Low,322,3,2,2,18200
502,About To Sleep,Medium,325,3,2,5,34880
503,Cant Lose Them,Low,142,1,4,2,20020
504,Promising,Low,411,4,1,1,17850
505,Need Attention,Medium,333,3,3,3,24300
506,At Risk,Low,241,2,4,1,20800
507,Promising,Low,412,4,1,2,17100
508,Lost,Low,431,4,3,1,22470
509,At Risk,Low,233,2,3,3,20750
510,Loyal Customers,Medium,444,4,4,4,38520
511,Lost,Low,121,1,2,1,13560
512,Promising,Low,411,4,1,1,13800
513,Promising,Low,421,4,2,1,15840
514,Lost,Medium,451,4,5,1,26730
515,Lost,Low,125,1,2,5,33320
516,Lost,Low,115,1,1,5,28750
517,Need Attention,Medium,333,3,3,3,24570
518,Hibernating,Low,223,2,2,3,22660
519,About To Sleep,Low,323,3,2,3,19200
520,Need Attention,Low,341,3,4,1,23540
521,About To Sleep,Medium,325,3,2,5,31040
522,At Risk,Low,251,2,5,1,19780
523,Lost,Low,134,1,3,4,27540
524,Lost,Medium,531,5,3,1,23230
525,Cant Lose Them,Medium,153,1,5,3,33060
526,Champions,Premium,555,5,5,5,53100
527,Lost,Low,431,4,3,1,17220
528,New Customers,Low,511,5,1,1,20230
529,Hibernating,Low,212,2,1,2,16050
530,Lost,Low,134,1,3,4,22410
531,Promising,Low,421,4,2,1,16560
532,Loyal Customers,Premium,554,5,5,4,36080
533,Lost,Medium,441,4,4,1,28560
534,Loyal Customers,Premium,455,4,5,5,36120
535,Need Attention,Low,331,3,3,1,19760
536,Promising,Medium,423,4,2,3,21060
537,Promising,Medium,423,4,2,3,25220
538,Loyal Customers,Premium,545,5,4,5,46620
539,Hibernating,Low,215,2,1,5,31590
540,About To Sleep,Medium,324,3,2,4,32480
541,At Risk,Low,251,2,5,1,21390
542,Loyal Customers,Medium,444,4,4,4,32760
543,At Risk,Low,233,2,3,3,24500
544,At Risk,Medium,255,2,5,5,33150
545,Lost,Low,112,1,1,2,11310
546,Lost,Medium,135,1,3,5,27280
547,Potential Loyalists,Medium,443,4,4,3,38080
548,Cant Lose Them,Low,142,1,4,2,22000
549,Promising,Medium,525,5,2,5,42840
550,Need Attention,Premium,355,3,5,5,41410
551,At Risk,Medium,252,2,5,2,22680
552,Loyal Customers,Premium,454,4,5,4,36660
553,Cant Lose Them,Medium,154,1,5,4,28710
554,Lost,Low,131,1,3,1,17400
555,Lost,Medium,531,5,3,1,22310
556,New Customers,Low,521,5,2,1,21400
557,Lost,Low,431,4,3,1,24990
558,Need Attention,Medium,345,3,4,5,32300
559,Need Attention,Low,332,3,3,2,24380
560,Promising,Medium,423,4,2,3,26520
561,Lost,Medium,452,4,5,2,28210
562,About To Sleep,Medium,315,3,1,5,30450
563,New Customers,Low,521,5,2,1,18800
564,Loyal Customers,Medium,444,4,4,4,33120
565,Potential Loyalists,Premium,535,5,3,5,31200
566,Lost,Low,133,1,3,3,23000
567,Potential Loyalists,Medium,453,4,5,3,38850
568,About To Sleep,Low,314,3,1,4,24250
569,Lost,Medium,432,4,3,2,21750
570,Hibernating,Low,222,2,2,2,15120
571,Promising,Medium,513,5,1,3,20250
572,Promising,Medium,415,4,1,5,25730
573,Lost,Low,131,1,3,1,12600
574,At Risk,Medium,255,2,5,5,35880
575,Cant Lose Them,Low,142,1,4,2,19800
576,At Risk,Medium,252,2,5,2,23490
577,Potential Loyalists,Premium,553,5,5,3,41070
578,Promising,Medium,523,5,2,3,26040
579,Potential Loyalists,Premium,535,5,3,5,39390
580,Lost,Low,111,1,1,1,8640
581,Hibernating,Low,223,2,2,3,19140
582,Loyal Customers,Premium,544,5,4,4,39520
583,Loyal Customers,Medium,444,4,4,4,33840
584,Lost,Low,131,1,3,1,13800
585,Lost,Low,115,1,1,5,26000
586,Cant Lose Them,Medium,155,1,5,5,42550
587,Lost,Low,112,1,1,2,11050
588,Promising,Low,421,4,2,1,20700
589,Potential Loyalists,Medium,453,4,5,3,39550
590,Promising,Low,412,4,1,2,17670
591,At Risk,Low,251,2,5,1,25070
592,Cant Lose Them,Medium,154,1,5,4,35970
593,New Customers,Low,521,5,2,1,18600
594,New Customers,Medium,522,5,2,2,25440
595,At Risk,Medium,243,2,4,3,28840
596,About To Sleep,Low,311,3,1,1,15210
597,Need Attention,Medium,333,3,3,3,29430
598,Need Attention,Medium,343,3,4,3,33900
599,Lost,Medium,532,5,3,2,25380
600,Cant Lose Them,Medium,153,1,5,3,29290
601,Lost,Low,134,1,3,4,27000
602,Lost,Low,112,1,1,2,15470
603,Promising,Medium,515,5,1,5,31020
604,Lost,Low,114,1,1,4,18690
605,Hibernating,Low,211,2,1,1,11220
606,At Risk,Medium,244,2,4,4,31040
607,Lost,Medium,541,5,4,1,27040
608,Promising,Medium,525,5,2,5,40320
609,Cant Lose Them,Medium,145,1,4,5,27200
610,Need Attention,Medium,343,3,4,3,30000
611,Cant Lose Them,Low,151,1,5,1,17220
612,Need Attention,Medium,352,3,5,2,30450
613,Need Attention,Premium,355,3,5,5,39770
614,New Customers,Low,511,5,1,1,15640
615,Potential Loyalists,Medium,543,5,4,3,40120
616,Champions,Premium,555,5,5,5,37800
617,Hibernating,Low,213,2,1,3,18240
618,At Risk,Medium,235,2,3,5,39270
619,About To Sleep,Medium,315,3,1,5,28420
620,Lost,Medium,135,1,3,5,33790
621,Lost,Medium,432,4,3,2,25000
622,Hibernating,Low,213,2,1,3,18620
623,Lost,Low,125,1,2,5,23520
624,Need Attention,Medium,344,3,4,4,28220
625,Lost,Medium,531,5,3,1,24840
